Phylum,Class,Genus,Ref
Proteobacteria,Alpha-proteobacteria,Afipia,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Aquabacterium,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Asticcacaulis,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Aurantimonas,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Beijerinckia,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Bosea,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Bradyrhizobium,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Brevundimonas,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Caulobacter,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Craurococcus,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Devosia,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Hoeflea,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Mesorhizobium,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Methylobacterium,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Novosphingobium,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Ochrobactrum,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Paracoccus,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Pedomicrobium,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Phyllobacterium,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Rhizobiumc,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Roseomonas,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Sphingobium,10.1186/s12915-014-0087-z
Proteobacteria,Alpha-proteobacteria,Sphingomonas,10.1186/s12915-014-0087-z
